Files already downloaded and verified
Files already downloaded and verified
[(0, 3), (1, 3), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  31, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.010, TAw acc= 89.7% |
| Epoch  32, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.021, TAw acc= 89.5% |
| Epoch  33, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.002, TAw acc= 91.2% |
| Epoch  34, time= 10.2s | Train: skip eval | Valid: time=  6.0s loss=1.980, TAw acc= 91.5% | *
| Epoch  35, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.016, TAw acc= 89.3% |
| Epoch  36, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.987, TAw acc= 91.5% |
| Epoch  37, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.995, TAw acc= 90.2% |
| Epoch  38, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.985, TAw acc= 90.7% |
| Epoch  39, time= 10.2s | Train: skip eval | Valid: time=  6.0s loss=2.002, TAw acc= 89.7% | lr=3.7e-03
| Epoch  40, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.996, TAw acc= 90.2% |
| Epoch  41, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.997, TAw acc= 90.6% |
| Epoch  42, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.990, TAw acc= 91.3% |
| Epoch  43, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.990, TAw acc= 90.8% |
| Epoch  44, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.994, TAw acc= 90.4% | lr=1.2e-03
| Epoch  45, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.987, TAw acc= 91.4% |
| Epoch  46, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.989, TAw acc= 90.9% |
| Epoch  47, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.987, TAw acc= 91.2% |
| Epoch  48, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.994, TAw acc= 91.2% |
| Epoch  49, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.983, TAw acc= 91.1% | lr=4.1e-04
| Epoch  50, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.986, TAw acc= 91.2% |
| Epoch  51, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=1.994, TAw acc= 91.3% |
| Epoch  52, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.990, TAw acc= 91.2% |
| Epoch  53, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.000, TAw acc= 90.4% |
| Epoch  54, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.986, TAw acc= 91.4% | lr=1.4e-04
| Epoch  55, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.983, TAw acc= 91.4% |
| Epoch  56, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.987, TAw acc= 91.1% |
| Epoch  57, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.990, TAw acc= 91.6% |
| Epoch  58, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.992, TAw acc= 91.3% |
| Epoch  59, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.986, TAw acc= 91.2% | lr=4.6e-05
| Selected 800 train exemplars, time=  0.1s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=3.184 | TAw acc= 89.5%, forg=  1.3%| TAg acc= 63.4%, forg= 27.4% <<<
>>> Test on task  1 : loss=2.408 | TAw acc= 89.7%, forg=  1.1%| TAg acc= 72.0%, forg= 13.1% <<<
>>> Test on task  2 : loss=1.970 | TAw acc= 90.8%, forg=  0.0%| TAg acc= 77.1%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar10_icarl
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=3.234, TAw acc= 87.6% | *
| Epoch   2, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=2.778, TAw acc= 86.6% | *
| Epoch   3, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=6.268, TAw acc= 56.8% |
| Epoch   4, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=4.637, TAw acc= 71.3% |
| Epoch   5, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=185.497, TAw acc= 50.0% |
| Epoch   6, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=2.687, TAw acc= 94.7% | *
| Epoch   7, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=11.179, TAw acc= 56.3% |
| Epoch   8, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=4.053, TAw acc= 62.4% |
| Epoch   9, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=3.362, TAw acc= 91.0% |
| Epoch  10, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=2.690, TAw acc= 85.0% |
