Files already downloaded and verified
Files already downloaded and verified
[(0, 13), (1, 13), (2, 13), (3, 13), (4, 12), (5, 12), (6, 12), (7, 12)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  32, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=783.739, TAw acc=  7.7% |
| Epoch  33, time= 10.3s | Train: skip eval | Valid: time=  6.3s loss=26.917, TAw acc= 12.5% | lr=1.2e-03
| Epoch  34, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.622, TAw acc= 27.7% | *
| Epoch  35, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=354.778, TAw acc=  7.7% |
| Epoch  36, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=30.087, TAw acc= 24.8% |
| Epoch  37, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=367.811, TAw acc= 11.5% |
| Epoch  38, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.622, TAw acc= 30.3% |
| Epoch  39, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.431, TAw acc= 30.0% | *
| Epoch  40, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.437, TAw acc= 31.4% |
| Epoch  41, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.336, TAw acc= 29.4% | *
| Epoch  42, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.365, TAw acc= 30.8% |
| Epoch  43, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.481, TAw acc= 27.8% |
| Epoch  44, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=18.278, TAw acc= 19.4% |
| Epoch  45, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.399, TAw acc= 30.8% |
| Epoch  46, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=28.784, TAw acc= 17.1% | lr=4.1e-04
| Epoch  47, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=86.875, TAw acc= 14.9% |
| Epoch  48, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.426, TAw acc= 28.5% |
| Epoch  49, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=53.279, TAw acc= 16.5% |
| Epoch  50, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.424, TAw acc= 29.2% |
| Epoch  51, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=22.506, TAw acc= 17.2% | lr=1.4e-04
| Epoch  52, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=16.388, TAw acc= 30.2% |
| Epoch  53, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=16.440, TAw acc= 29.8% |
| Epoch  54, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.523, TAw acc= 28.6% |
| Epoch  55, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=16.264, TAw acc= 30.5% | *
| Epoch  56, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.312, TAw acc= 28.5% |
| Epoch  57, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.265, TAw acc= 29.2% |
| Epoch  58, time= 10.3s | Train: skip eval | Valid: time=  6.3s loss=16.307, TAw acc= 29.7% |
| Epoch  59, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.270, TAw acc= 32.2% |
| Epoch  60, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=16.357, TAw acc= 32.2% | lr=4.6e-05
| Selected 3900 train exemplars, time=  0.3s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=4.457 | TAw acc= 28.5%, forg= 34.1%| TAg acc= 16.2%, forg= 44.5% <<<
>>> Test on task  1 : loss=11.231 | TAw acc= 32.2%, forg= 38.8%| TAg acc= 16.4%, forg= 39.1% <<<
>>> Test on task  2 : loss=16.485 | TAw acc= 30.9%, forg=  0.0%| TAg acc= 15.2%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=21.553, TAw acc= 25.2% | *
| Epoch   2, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.372, TAw acc= 27.7% | *
| Epoch   3, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.459, TAw acc= 29.7% |
| Epoch   4, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=21.392, TAw acc= 27.5% |
| Epoch   5, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.286, TAw acc= 30.2% | *
| Epoch   6, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.327, TAw acc= 28.9% |
| Epoch   7, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.305, TAw acc= 34.5% |
| Epoch   8, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.295, TAw acc= 30.6% |
| Epoch   9, time= 11.5s | Train: skip eval | Valid: time=  6.2s loss=21.252, TAw acc= 31.5% | *
| Epoch  10, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.134, TAw acc= 34.5% | *
| Epoch  11, time= 11.5s | Train: skip eval | Valid: time=  6.2s loss=21.224, TAw acc= 31.1% |
| Epoch  12, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=21.419, TAw acc= 33.5% |
| Epoch  13, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=21.203, TAw acc= 33.5% |
| Epoch  14, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.132, TAw acc= 35.2% | *
| Epoch  15, time= 11.5s | Train: skip eval | Valid: time=  6.2s loss=21.240, TAw acc= 32.5% |
| Epoch  16, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=21.029, TAw acc= 35.2% | *
| Epoch  17, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=20.971, TAw acc= 34.8% | *
| Epoch  18, time= 11.5s | Train: skip eval | Valid: time=  6.2s loss=21.054, TAw acc= 34.3% |
| Epoch  19, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=21.101, TAw acc= 37.1% |
| Epoch  20, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=21.090, TAw acc= 32.6% |
