Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  29, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.072, TAw acc= 59.9% |
| Epoch  30, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.068, TAw acc= 60.3% |
| Epoch  31, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.074, TAw acc= 58.8% |
| Epoch  32, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.382, TAw acc= 58.1% |
| Epoch  33, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.723, TAw acc= 57.7% | lr=3.7e-03
| Epoch  34, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=18.047, TAw acc= 60.0% |
| Epoch  35, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.033, TAw acc= 59.8% | *
| Epoch  36, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.146, TAw acc= 60.2% |
| Epoch  37, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=18.062, TAw acc= 59.3% |
| Epoch  38, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.074, TAw acc= 59.4% |
| Epoch  39, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.021, TAw acc= 60.3% | *
| Epoch  40, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.068, TAw acc= 58.9% |
| Epoch  41, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.011, TAw acc= 60.4% | *
| Epoch  42, time= 13.4s | Train: skip eval | Valid: time=  6.2s loss=18.044, TAw acc= 60.8% |
| Epoch  43, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.028, TAw acc= 60.0% |
| Epoch  44, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.044, TAw acc= 59.7% |
| Epoch  45, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=18.025, TAw acc= 60.9% |
| Epoch  46, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.018, TAw acc= 60.0% | lr=1.2e-03
| Epoch  47, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.052, TAw acc= 59.7% |
| Epoch  48, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.052, TAw acc= 61.2% |
| Epoch  49, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.035, TAw acc= 60.3% |
| Epoch  50, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=18.025, TAw acc= 61.5% |
| Epoch  51, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.013, TAw acc= 60.5% | lr=4.1e-04
| Epoch  52, time= 13.3s | Train: skip eval | Valid: time=  6.3s loss=18.030, TAw acc= 59.5% |
| Epoch  53, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.059, TAw acc= 60.1% |
| Epoch  54, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.033, TAw acc= 59.2% |
| Epoch  55, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.025, TAw acc= 59.9% |
| Epoch  56, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.006, TAw acc= 60.3% | *
